Vessel_CAT_ID,Vessel_ID,Vessel_Name,Vessel_Type,Vessel_Captain,Vessel_Type,Vessel_Category,Abbreviation
SCHR,SCHR_A000170,Alfred Barret,Schooner,Jones,,,
SCHR,SCHR_A000170,Alfred Barret,Schooner,Coates,,,
SCHR,SCHR_A000170,Alfred Barrett,Schooner,Carlisle,,,
SCHR,SCHR_A000170,Alfred Barritt,Schooner,Baker,,,
SCHR,SCHR_A000174,Alfred Rae,Schooner,Creekmore,,,
SCHR,SCHR_A000174,Alfred Ray,Schooner,Creekmore,,,
SCHR,SCHR_A000174,Alfred Rea,Schooner,Creekmoor,,,
SCHR,SCHR_A000174,Alfred Rhea,Schooner,,,,
SCHR,SCHR_A000178,Alhambra,Schooner,Burnham,,,
SCHR,SCHR_A000179,Alhambra Van Gilden,Schooner,,,,
SCHR,SCHR_A000180,Ali Albon,Br. Schooner,Crowell,,,
SCHR,SCHR_A000181,Alice,Schooner,Jones,,,
SCHR,SCHR_A000181,Alice,Schooner,Howell,,,
SCHR,SCHR_A000181,Alice,Schooner,,,,
SCHR,SCHR_A000184,Alice Ann,Schooner,Bandle,,,
SCHR,SCHR_A000185,Alice Davis,Schooner,,,,
SCHR,SCHR_A000186,Alice Gibson,Schooner,,,,
SCHR,SCHR_A000187,Alice Lea,Schooner,Carson,,,
SCHR,SCHR_A000188,Alice Mowe,Schooner,Pike,,,
SCHR,SCHR_A000189,Alida,Schooner,Dillnoy,,,
SCHR,SCHR_A000189,Alida,Schooner,Delaney,,,
SCHR,SCHR_A000191,Allen H. Brown,Schooner,Risley,,,
SCHR,SCHR_A000191,Allen H. Brown,Schooner,Grisley,,,
SCHR,SCHR_A000191,Allen H. Brown,Schooner,Endicott,,,
SCHR,SCHR_A000194,"Allen Middleton, Jr.",Schooner,Sipple,,,
SCHR,SCHR_A000195,Alliance,Schooner,Willetts,,,
SCHR,SCHR_A000195,Alliance,Schooner,Pennington,,,
SCHR,SCHR_A000195,Alliance,Schooner,Pettingill,,,
SCHR,SCHR_A000198,Alma,Schooner,,,,
SCHR,SCHR_A000198,Alma,Schooner,McDermot,,,
SCHR,SCHR_A000198,Alma,Schooner,McDermond,,,
SCHR,SCHR_A000198,Alma,Schooner,McDorman,,,
SCHR,SCHR_A000198,Alma,Schooner,Greenwood,,,
SCHR,SCHR_A000203,Almeda,Schooner,Weldon,,,
SCHR,SCHR_A000203,Almeda,Schooner,Wilder,,,
SCHR,SCHR_A000203,Almeda,Schooner,Walden,,,
SCHR,SCHR_A000203,Almeda,Schooner,,,,
SCHR,SCHR_A000203,Almeda,Schooner,Boise,,,
SCHR,SCHR_A000203,Almeda,Schooner,Dickerson,,,
SCHR,SCHR_A000203,Almedo,Schooner,Dickinson,,,
SCHR,SCHR_A000210,Almira,Schooner,Bradway,,,
SCHR,SCHR_A000210,Almira,Schooner,Smith,,,
SCHR,SCHR_A000210,Almira,Schooner,Paine,,,
SCHR,SCHR_A000210,Almira,Schooner,,,,
SCHR,SCHR_A000210,Almira,Schooner,Cunningham,,,
SCHR,SCHR_A000215,Almira T.,Schooner,Gandy,,,
SCHR,SCHR_A000215,Almira T. Gandy,Schooner,,,,
SCHR,SCHR_A000217,Almora,Schooner,,,,
SCHR,SCHR_A000218,Alquesas,Schooner,Lovey,,,
SCHR,SCHR_A000219,Alquisar,Schooner,Long,,,
SCHR,SCHR_A000219,Alquizar,Schooner,Long,,,
SCHR,SCHR_A000221,Alva,Schooner,Greenwood,,,
SCHR,SCHR_A000221,Alva,Schooner,Chase,,,
SCHR,SCHR_A000221,Alva,Schooner,Bennett,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Jones,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Hoofman,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Hubbard,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Mitchell,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Dawes,,,
SCHR,SCHR_A000224,Alvarado,Schooner,,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Slover,,,
SCHR,SCHR_A000224,Alvarado,Schooner,Lecompte,,,
SCHR,SCHR_A000224,Alverado,Schooner,Slover,,,
SCHR,SCHR_A000224,Alvorado,Schooner,Dawes,,,
SCHR,SCHR_A000224,Alvorado,Schooner,Lecompt,,,
SCHR,SCHR_A000233,Alvira,Schooner,Brenin,,,
SCHR,SCHR_A000236,Amanda,Schooner,Elsey,,,
SCHR,SCHR_A000237,Amazon,British Schooner,Obrien,,,
SCHR,SCHR_A000237,Amazon,Schooner,Warren,,,
SCHR,SCHR_A000239,Ambition,Schooner,Wroton,,,
SCHR,SCHR_A000239,Ambition,Schooner,Wroten,,,
SCHR,SCHR_A000239,Ambition,Schooner,Wrotem,,,
SCHR,SCHR_A000239,Ambition,Schooner,Wrotten,,,
SCHR,SCHR_A000239,Ambition,Schooner,,,,
SCHR,SCHR_A000239,Ambition,Schooner,White,,,
SCHR,SCHR_A000239,Ambiton,Schooner,White,,,
SCHR,SCHR_A000246,Amdrumda,Schooner,Rowland,,,
SCHR,SCHR_A000247,Amelia,Schooner,Rockhill,,,
SCHR,SCHR_A000247,Amelia,Schooner,Wauser,,,
SCHR,SCHR_A000247,Amelia,Schooner,Pattison,,,
SCHR,SCHR_A000250,Amelia C. Reeves,Schooner,Crawford,,,
SCHR,SCHR_A000251,Amelia R.,Schooner,Johnson,,,
SCHR,SCHR_A000251,Amelia R. Johnson,Schooner,Johnson,,,
SCHR,SCHR_A000251,Amelia R. Johnson,Schooner,Patterson,,,
SCHR,SCHR_A000251,Amelia R. Johnson,Schooner,,,,
SCHR,SCHR_A000255,America,Schooner,Robbins,,,
SCHR,SCHR_A000256,American,Schooner,Nelson,,,
SCHR,SCHR_A000256,American,Schooner,Eversmann,,,
SCHR,SCHR_A000256,American,Schooner,Evereshman,,,
SCHR,SCHR_A000256,American,Schooner,Murry,,,
SCHR,SCHR_A000256,American,Schooner,Smith,,,
SCHR,SCHR_A000261,American Belle,Schooner,Brown,,,
SCHR,SCHR_A000261,American Belle Brown,Schooner,,,,
SCHR,SCHR_A000263,American Chief,Schooner,Pressey,,,
SCHR,SCHR_A000264,American Clipper,Schooner,,,,
